국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
그린란드🇬🇱,565,167,2,0,398,-,70.4,9952,56770
왈리스 퓌티나🇼🇫,445,0,N/A,7,438,1.6,98.4,-,-
앵귈라🇦🇮,364,18,N/A,1,345,0.3,94.8,24262,15003
포클랜드 제도🇫🇰,67,4,N/A,0,63,-,94.0,19253,3480
마카오🇲🇴,66,3,N/A,0,63,-,95.5,102,649335
몬트세랫🇲🇸,33,2,N/A,1,30,3.0,90.9,6611,4992
생피에르 미클롱🇵🇲,31,0,N/A,0,31,-,100,5350,5794
바티칸 시국🇻🇦,27,0,N/A,0,27,-,100,33708,801
솔로몬 제도🇸🇧,20,0,N/A,0,20,-,100,29,686884
서사하라🇪🇭,10,1,N/A,1,8,10,80,17,597339
잔담🚢,9,0,N/A,2,7,22.2,77.8,-,-
팔라우🇵🇼,5,0,N/A,0,5,-,100,276,18094
마셜 제도🇲🇭,4,0,N/A,0,4,-,100,68,59190
바누아투🇻🇺,4,0,N/A,1,3,25,75,13,307145
사모아🇼🇸,3,0,N/A,0,3,-,100,15,198414
세인트헬레나🇸🇭,2,0,N/A,0,2,-,100,329,6077
미크로네시아🇫🇲,1,0,N/A,0,1,-,100,9,115023
